teamName,name,side,avg_endinghealth_per_round,avg_endingarmor_per_round,avg_damageDealt_per_round,avg_damageTaken_per_round,avg_kills_per_game,avg_deaths_per_game,avg_assists_per_game,avg_teamkills_per_game,avg_selfkills_per_game,avg_headshots_per_game,avg_bombs_defused_per_game,avg_bombs_exploded_per_game,avg_bombs_planted_per_game
9INE,Goofy,counter-terrorists,23.153846153846153,28.884615384615383,66.34615384615384,76.84615384615384,7.0,9.0,1.0,0.0,0.0,2.5,0.0,0.0,13.0
9INE,Goofy,terrorists,17.03030303030303,18.060606060606062,56.42424242424242,82.96969696969697,6.0,13.0,4.5,0.0,0.0,1.5,0.0,0.0,16.5
9INE,KEi,counter-terrorists,9.076923076923077,18.03846153846154,97.53846153846153,90.92307692307692,10.5,10.5,2.0,0.0,0.0,3.5,0.0,21.0,21.0
9INE,KEi,terrorists,15.515151515151516,18.21212121212121,71.18181818181819,84.48484848484848,12.0,12.5,1.5,0.0,0.0,5.0,0.0,25.5,25.5
9INE,Kylar,counter-terrorists,23.884615384615383,26.307692307692307,75.15384615384616,75.65384615384616,10.0,9.5,1.5,0.0,0.0,5.5,13.0,16.0,24.0
9INE,Kylar,terrorists,22.363636363636363,25.484848484848484,74.24242424242425,77.36363636363636,11.0,12.0,2.5,0.0,0.0,5.5,16.5,18.0,27.0
9INE,hades,counter-terrorists,24.423076923076923,25.96153846153846,82.34615384615384,74.42307692307692,10.5,8.5,1.5,0.0,0.0,2.0,8.0,0.0,34.0
9INE,hades,terrorists,15.181818181818182,21.09090909090909,91.21212121212122,84.33333333333333,15.0,12.5,0.5,0.0,0.0,4.5,9.0,0.0,42.0
9INE,mynio,counter-terrorists,17.03846153846154,17.53846153846154,58.76923076923077,82.88461538461539,5.0,10.5,2.0,0.0,0.0,2.0,0.0,5.0,10.0
9INE,mynio,terrorists,18.575757575757574,18.151515151515152,48.90909090909091,80.6969696969697,7.0,12.5,2.0,0.0,0.0,3.0,0.0,7.5,15.0
ECSTATIC,Nodios,counter-terrorists,40.63636363636363,44.68181818181818,45.54545454545455,57.45454545454545,5.0,6.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0
ECSTATIC,Nodios,terrorists,25.87878787878788,28.303030303030305,74.75757575757575,73.21212121212122,12.5,11.5,0.5,0.0,0.0,9.5,0.0,0.0,0.0
ECSTATIC,Queenix,counter-terrorists,43.18181818181818,49.81818181818182,84.95454545454545,56.81818181818182,7.5,5.0,2.5,0.0,0.0,5.5,0.0,2.0,17.0
ECSTATIC,Queenix,terrorists,26.424242424242426,34.21212121212121,73.0909090909091,71.15151515151516,10.5,10.5,2.5,0.0,0.0,8.5,0.0,7.5,39.0
ECSTATIC,kraghen,counter-terrorists,44.22727272727273,51.90909090909091,84.0909090909091,55.77272727272727,8.0,4.5,1.5,0.0,0.0,5.0,9.0,2.0,2.0
ECSTATIC,kraghen,terrorists,12.666666666666666,21.363636363636363,67.57575757575758,86.0,11.5,12.5,0.5,0.0,0.0,6.0,9.0,7.5,7.5
ECSTATIC,maNkz,counter-terrorists,30.5,30.681818181818183,79.31818181818181,68.5909090909091,8.5,7.0,2.0,0.0,0.0,5.5,0.0,29.0,42.0
ECSTATIC,maNkz,terrorists,24.696969696969695,31.272727272727273,74.18181818181819,74.0,9.5,11.0,3.0,0.0,0.0,7.0,0.0,34.5,58.5
ECSTATIC,salazar,counter-terrorists,43.90909090909091,52.59090909090909,116.27272727272727,56.09090909090909,13.5,5.0,0.5,0.0,0.0,4.5,9.0,22.0,51.0
ECSTATIC,salazar,terrorists,37.18181818181818,39.84848484848485,65.39393939393939,62.45454545454545,10.0,9.5,1.0,0.0,0.0,3.5,9.0,33.0,67.5
forZe,Jerry,counter-terrorists,29.37878787878788,29.62121212121212,69.03030303030303,69.95454545454545,9.0,10.75,2.75,0.0,0.0,2.75,0.0,0.0,9.0
forZe,Jerry,terrorists,25.166666666666668,29.541666666666668,68.97916666666667,74.4375,7.0,8.0,1.25,0.0,0.0,5.25,0.0,0.0,8.5
forZe,Krad,counter-terrorists,32.621212121212125,34.36363636363637,95.56060606060606,67.33333333333333,13.5,10.0,3.0,0.0,0.0,7.75,8.25,4.5,9.0
forZe,Krad,terrorists,14.5,22.020833333333332,79.52083333333333,84.70833333333333,7.25,9.0,1.5,0.0,0.0,3.5,6.5,4.0,8.5
forZe,r3salt,counter-terrorists,21.363636363636363,23.666666666666668,67.39393939393939,78.07575757575758,10.0,12.0,2.0,0.0,0.0,6.25,9.0,0.0,13.5
forZe,r3salt,terrorists,14.291666666666666,20.041666666666668,64.25,84.10416666666667,6.75,9.25,2.0,0.0,0.0,4.75,9.0,0.0,12.0
forZe,shalfey,counter-terrorists,27.803030303030305,28.21212121212121,86.93939393939394,71.57575757575758,14.25,11.25,1.75,0.0,0.0,6.5,4.5,4.5,34.5
forZe,shalfey,terrorists,22.083333333333332,21.833333333333332,70.52083333333333,75.97916666666667,8.75,8.75,0.75,0.25,0.0,2.75,4.5,4.5,30.5
forZe,zorte,counter-terrorists,38.45454545454545,41.28787878787879,69.4090909090909,61.54545454545455,12.0,8.5,1.25,0.0,0.0,3.0,7.5,9.0,24.75
forZe,zorte,terrorists,24.479166666666668,31.1875,68.875,74.6875,8.0,8.0,0.5,0.0,0.0,3.5,3.5,8.5,20.0
